time_s,ankle_dorsiflexion_deg,ankle_inversion_deg,joint1_target_deg,joint1_measured_deg,joint1_error_deg,joint1_torque_nm,joint1_goal_tick,joint4_target_deg,joint4_measured_deg,joint4_error_deg,joint4_torque_nm,joint4_goal_tick,joint6_target_deg,joint6_measured_deg,joint6_error_deg,joint6_torque_nm,joint6_goal_tick
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,0.0,0.0,0.0,0.0,2048,-0.0,0.0,-0.0,0.0,2048
0.01,1.0335314108993249e-06,0.00016449109172923102,1.0335314108993249e-06,8.043171113265416e-08,9.530996997666708e-07,2.526836728100026e-07,2048,0.00014193669842830077,1.1045829286575764e-05,0.00013089086914172502,3.4701496139513396e-05,2048,-0.00014297022983920005,-1.1126260997708416e-05,-0.00013184396884149163,-3.4954179812323395e-05,2048
0.02,8.26798380943114e-06,0.0006579365881021766,8.26798380943114e-06,7.699317569480592e-07,7.498052052483083e-06,1.9246749912317224e-06,2048,0.0005656558074710278,6.139290758949017e-05,0.0005042628998815376,0.0001250108039039443,2048,-0.0005739237912804589,-6.216283934643822e-05,-0.0005117609519340205,-0.000126935478895176,2048
0.03,2.7902940849374905e-05,0.0014802531575630502,2.7902940849374905e-05,3.330067675810233e-06,2.457287317356467e-05,5.973048284242301e-06,2048,0.0012679853680570433,0.00018804917270662,0.0010799361953504232,0.00024676215897811234,2048,-0.001295888308906418,-0.00019137924038243017,-0.0011045090685239877,-0.0002527352072623546,2048
0.04,6.613531177333212e-05,0.0026313019304810507,6.613531177333212e-05,9.883415423397867e-06,5.625189634993425e-05,1.2902507354013486e-05,2048,0.0022457066609369593,0.00043059180730068347,0.0018151148536362759,0.0003817523177565091,2048,-0.0023118419727102906,-0.00044047522272408127,-0.0018713667499862094,-0.00039465482511052237,2048
0.05,0.000129157994848386,0.004110888523589604,0.000129157994848386,2.3429711366434422e-05,0.00010572828348195156,2.28840146395448e-05,2048,0.003495554896130309,0.0008269427937942019,0.002668612102336107,0.0005170685287891045,2048,-0.003624712890978694,-0.000850372505160636,-0.002774340385818058,-0.0005399525434286492,2048
0.06,0.00022315854157111355,0.0059187630741951176,0.00022315854157111355,4.778785331183117e-05,0.00017537068825928238,3.585783569800327e-05,2048,0.005014219910448697,0.001410746401280596,0.0036034735091681007,0.0006442408146700859,2048,-0.005237378452019808,-0.0014585342545924268,-0.0037788441974273813,-0.0006800986503680889,2048
0.07,0.00035431782189827474,0.0080546202841512,0.00035431782189827474,8.7494073920392e-05,0.00026682374797788266,5.161844938783703e-05,2048,0.006798346872963236,0.0022099921444910676,0.004588354728472168,0.0007583457919497228,2048,-0.00715266469486151,-0.002297486218411459,-0.0048551784764500495,-0.0008099642413375594,2048
0.08,0.0005288086907590404,0.010518099473584943,0.0005288086907590404,0.00014767941006259603,0.00038112928069644435,6.9881073177651e-05,2048,0.008844536998276772,0.0032465547076348184,0.005597982290641953,0.0008571485360882562,2048,-0.00937334568903581,-0.0033942341176974138,-0.005979111571338396,-0.000927029609265907,2048
0.09,0.0007527946561047787,0.013308784644371892,0.0007527946561047787,0.00023394311425065602,0.0005188515418541226,9.033106768727988e-05,2048,0.011149348267469916,0.0045363660050305905,0.006612982262439326,0.0009403358000952251,2048,-0.011902142923574695,-0.004770309119281246,-0.007131833804293447,-0.0010306668677825047,2048
0.1,0.0010324285487516784,0.01642620455334224,0.0010324285487516784,0.0003522331494568544,0.000680195399294824,0.00011265837155240305,2048,0.013709296156578161,0.006089985067052326,0.0076193110895258365,0.0010088681662606819,2048,-0.014741724705329836,-0.006442218216509181,-0.008299506488820656,-0.001121526537813084,2048
0.11,0.0013738511942716109,0.01986983279520987,0.0013738511942716109,0.000508740463651236,0.0008651107306203748,0.00013657952760265347,2048,0.016520854372465105,0.007913382482239585,0.008607471890225522,0.0010644598360345597,2048,-0.017894705566736713,-0.008422122945890821,-0.009472582620845892,-0.0012010393636372122,2048
0.12,0.0017831900871859414,0.0236390878952068,0.0017831900871859414,0.000709810329738312,0.001073379757447629,0.0001618499291404646,2048,0.01958045559594934,0.01000880354865703,0.00957165204729231,0.0011091818120463972,2048,-0.021363645683135275,-0.01071861387839534,-0.010645031804739935,-0.001271031741186861,2048
0.13,0.0022665580677165265,0.027733333411404597,0.0022665580677165265,0.0009618715633562673,0.0013046865043602595,0.00018826875514961488,2048,0.02288449223204187,0.01237561567440142,0.010508876557640453,0.0011451761328285623,2048,-0.025151050299758393,-0.013337487237757684,-0.01181356306200071,-0.0013334448879781758,2048
0.14,0.00283005200134793,0.03215187804670665,0.00283005200134793,0.0012713827594453614,0.0015586692419025684,0.00021567876759451542,2048,0.026429317167153188,0.015011079816169873,0.011418237350983317,0.0011744645148762116,2048,-0.029259369168501113,-0.016282462575615227,-0.012976906592885886,-0.0013901432824707275,2048
0.15,0.003479751461454307,0.03689397577049158,0.003479751461454307,0.0016447936680621296,0.0018349577933921772,0.00024396278299176406,2048,0.030211244533126118,0.01791101269311285,0.012300231840013269,0.001198833248265308,2048,-0.03369099599458041,-0.01955580636117497,-0.014135189633405442,-0.0014427960312570723,2048
0.16,0.004221717415243472,0.041958825949882025,0.004221717415243472,0.0020885193121685025,0.00213319810307497,0.000273038254999062,2048,0.03422655047794583,0.021070326621544556,0.013156223856401278,0.0012197766201532917,2048,-0.0384482678931893,-0.02315884593371305,-0.015289421959476248,-0.0014928148751523534,2048
0.17,0.005061990913270538,0.047345573490617986,0.005061990913270538,0.002608924299496999,0.0024530666137735388,0.0003028510490702246,2048,0.03847147394298298,0.02448344791506087,0.013988026027922118,0.0012384827948187878,2048,-0.04353346485625351,-0.02709237221455786,-0.016441092641695656,-0.0015413338438890114,2048
0.18,0.006006591782772367,0.05305330898750639,0.006006591782772367,0.0032123148804215035,0.002794276902350864,0.0003333691749764582,2048,0.04294221744661963,0.02814462389087072,0.014797593555748906,0.0012558484023162187,2048,-0.04894880922939199,-0.03135693877129222,-0.01759187045809977,-0.001589217577292677,2047
0.19,0.0070615173250742945,0.0590810688844256,0.0070615173250742945,0.0039049365587325298,0.0031565807663417648,0.000364576978522485,2048,0.04763494787411377,0.032048133659701626,0.015586814214412147,0.0012725106660538752,2049,-0.05469646519918805,-0.03595307021843414,-0.01874339498075391,-0.00163708764457636,2047
0.2,0.008232741017317961,0.06542783564384481,0.008232741017317961,0.004692975398293271,0.0035397656190246903,0.00039647008286622956,2048,0.0525457972735436,0.03618842003920342,0.016357377234340192,0.0012888884434244334,2049,-0.06077853829086155,-0.04088139543749667,-0.019897142853364882,-0.0016853585262906622,2047
0.21,0.009526211218760742,0.07209253792583924,0.009526211218760742,0.005582561531293619,0.003943649687467124,0.0004290512101332338,2048,0.057670863657689524,0.040560159991274415,0.0171107036664151,0.0013052258776128163,2049,-0.06719707487645024,-0.04614272152256802,-0.021054353353882217,-0.001734277087746048,2047
0.22,0.01094784988189418,0.0790740507765598,0.01094784988189418,0.006579773725744533,0.004368076156149647,0.000462326899995424,2048,0.06300621181169432,0.0451582896724134,0.01784792213928092,0.0013216343593250655,2049,-0.07395406169358848,-0.0517380633981579,-0.022215998295430573,-0.001783961259320492,2047
0.23,0.012503551268629435,0.08637119582612796,0.012503551268629435,0.007690644187429003,0.004812907081200431,0.0004963050664343358,2048,0.06854787410635257,0.04997799808447289,0.01856987602187968,0.0013381301322080807,2049,-0.08105142537498197,-0.057668642271901875,-0.023382783103080115,-0.0018344351986424156,2047
